Date,Price,Trends,High,Volume,Previous_Close,trend_daily_increase,price_daily_increase
4/1/2021,372.119995,69,376,1561900,,,
4/5/2021,374.809998,88,377.940002,1419500,372.12,1,1
4/6/2021,375.609985,83,381.839996,1309700,374.81,0,1
4/7/2021,374.790009,88,378.880005,1299300,375.61,1,0
4/8/2021,374.070007,79,374.529999,1250700,374.79,0,0
4/9/2021,377,82,378.079987,1224500,374.07,1,1
4/12/2021,378.26001,96,379.149994,1165100,377,1,1
4/13/2021,378.670013,90,384.399994,985100,378.26,0,1
4/14/2021,381.5,92,382.980011,1077100,378.67,1,1
4/15/2021,382.140015,88,385.950012,1127000,381.5,0,1
4/16/2021,383.070007,80,386.059998,1092000,382.14,0,1
4/19/2021,380.720001,92,383.679993,1145100,383.07,1,0
4/20/2021,370.269989,76,380.73999,1807400,380.72,0,0
4/21/2021,375.600006,77,375.829987,1819900,370.27,1,1
4/22/2021,368.359985,80,377.23999,1880200,375.6,1,0
4/23/2021,376.269989,82,377.690002,1301300,368.36,1,1
4/26/2021,380.450012,91,383.799988,1235700,376.27,1,1
4/27/2021,382.359985,84,383.5,925700,380.45,0,1
4/28/2021,379.799988,92,384.51001,891000,382.36,1,0
4/29/2021,376.390015,84,382.839996,1104500,379.8,0,0
4/30/2021,370.850006,80,373.529999,1196700,376.39,0,0
5/3/2021,373.769989,82,377.75,924600,370.85,1,1
5/4/2021,379.579987,82,381,1692300,373.77,0,1
5/5/2021,378.859985,80,383.339996,1460800,379.58,0,0
5/6/2021,389.910004,79,391,2010900,378.86,0,1
5/7/2021,394.220001,81,396.899994,1597200,389.91,1,1
5/10/2021,391.399994,83,400.339996,1601300,394.22,1,0
5/11/2021,383.200012,83,389.179993,1588500,391.4,0,0
5/12/2021,373.630005,68,388.529999,1631600,383.2,0,0
5/13/2021,378.109985,74,379.839996,1483400,373.63,1,1
5/14/2021,384,80,386.709991,1143600,378.11,1,1
5/17/2021,383.549988,86,385.649994,1170200,384,1,0
5/18/2021,369.690002,85,386.320007,1664800,383.55,0,0
5/19/2021,358.420013,77,362.179993,2800600,369.69,0,0
5/20/2021,355.220001,88,359,2947000,358.42,1,0
5/21/2021,359.75,76,368.390015,3614400,355.22,0,1
5/24/2021,359.359985,79,362.48999,1914700,359.75,1,0
5/25/2021,360.690002,77,367.799988,1682300,359.36,0,1
5/26/2021,357.73999,78,361.25,1949800,360.69,1,0
5/27/2021,362.209991,88,363.5,3337100,357.74,1,1
5/28/2021,361.100006,77,363.540009,1348100,362.21,0,0
6/1/2021,364.609985,72,369.25,1483500,361.1,0,1
6/2/2021,356.709991,67,365.309998,1882700,364.61,0,0
6/3/2021,358.910004,77,363.429993,1336800,356.71,1,1
6/4/2021,356.640015,79,361.440002,1279300,358.91,1,0
6/7/2021,355.429993,75,359.700012,1537000,356.64,0,0
6/8/2021,356.579987,77,359.470001,1521700,355.43,1,1
6/9/2021,349.529999,80,355.910004,2000800,356.58,1,0
6/10/2021,341.440002,74,354.399994,2232000,349.53,0,0
6/11/2021,341.570007,78,346.5,2028400,341.44,1,1
6/14/2021,335.540009,79,342.429993,2775000,341.57,1,0
6/15/2021,338.100006,78,339.029999,1722400,335.54,0,1
6/16/2021,336.559998,81,340,2264600,338.1,1,0
6/17/2021,328.380005,66,336.910004,3387800,336.56,0,0
6/18/2021,328.970001,81,331.850006,2930600,328.38,1,1
6/21/2021,337.880005,71,338.76001,2010700,328.97,0,1
6/22/2021,342.100006,71,342.649994,1677400,337.88,0,1
6/23/2021,347.75,71,349.170013,3352700,342.1,0,1
6/24/2021,350.619995,74,354.73999,2140200,347.75,1,1
6/25/2021,349.98999,80,355.890015,6604800,350.62,1,0
6/28/2021,349.890015,72,350.950012,1304200,349.99,0,0
6/29/2021,348.929993,66,352.700012,1213400,349.89,0,0
