Date,Open,High,Low,Close,Adj Close,Volume
4/1/2021,123.660004,124.18,122.489998,123,122.791428,75089100
4/5/2021,123.870003,126.160004,123.07,125.900002,125.686516,88651200
4/6/2021,126.5,127.129997,125.650002,126.209999,125.995987,80171300
4/7/2021,125.830002,127.919998,125.139999,127.900002,127.683121,83466700
4/8/2021,128.949997,130.389999,128.520004,130.360001,130.138947,88844600
4/9/2021,129.800003,133.039993,129.470001,133,132.774475,106686700
4/12/2021,132.520004,132.850006,130.630005,131.240005,131.017456,91420000
4/13/2021,132.440002,134.660004,131.929993,134.429993,134.202042,91266500
4/14/2021,134.940002,135,131.660004,132.029999,131.806122,87222800
4/15/2021,133.820007,135,133.639999,134.5,134.271927,89347100
4/16/2021,134.300003,134.669998,133.279999,134.160004,133.93251,84922400
4/19/2021,133.509995,135.470001,133.339996,134.839996,134.611343,94264200
4/20/2021,135.020004,135.529999,131.809998,133.110001,132.884293,94812300
4/21/2021,132.360001,133.75,131.300003,133.5,133.273621,68847100
4/22/2021,133.039993,134.149994,131.410004,131.940002,131.716278,84566500
4/23/2021,132.160004,135.119995,132.160004,134.320007,134.092239,78657500
4/26/2021,134.830002,135.059998,133.559998,134.720001,134.491562,66905100
4/27/2021,135.009995,135.410004,134.110001,134.389999,134.162109,66015800
4/28/2021,134.309998,135.020004,133.080002,133.580002,133.353485,107760100
4/29/2021,136.470001,137.070007,132.449997,133.479996,133.253662,151101000
4/30/2021,131.779999,133.559998,131.070007,131.460007,131.237091,109839500
5/3/2021,132.039993,134.070007,131.830002,132.539993,132.315247,75135100
5/4/2021,131.190002,131.490005,126.699997,127.849998,127.633202,137564700
5/5/2021,129.199997,130.449997,127.970001,128.100006,127.88279,84000900
5/6/2021,127.889999,129.75,127.129997,129.740005,129.520004,78128300
5/7/2021,130.850006,131.259995,129.479996,130.210007,130.210007,78973300
5/10/2021,129.410004,129.539993,126.809998,126.849998,126.849998,88071200
5/11/2021,123.5,126.269997,122.769997,125.910004,125.910004,126142800
5/12/2021,123.400002,124.639999,122.25,122.769997,122.769997,112172300
5/13/2021,124.580002,126.150002,124.260002,124.970001,124.970001,105861300
5/14/2021,126.25,127.889999,125.849998,127.449997,127.449997,81918000
5/17/2021,126.82,126.93,125.169998,126.269997,126.269997,74244600
5/18/2021,126.559998,126.989998,124.779999,124.849998,124.849998,63342900
5/19/2021,123.160004,124.919998,122.860001,124.690002,124.690002,92612000
5/20/2021,125.230003,127.720001,125.099998,127.309998,127.309998,76857100
5/21/2021,127.82,128,125.209999,125.43,125.43,79295400
5/24/2021,126.010002,127.940002,125.940002,127.099998,127.099998,63092900
5/25/2021,127.82,128.320007,126.32,126.900002,126.900002,72009500
5/26/2021,126.959999,127.389999,126.419998,126.849998,126.849998,56575900
5/27/2021,126.440002,127.639999,125.080002,125.279999,125.279999,94625600
5/28/2021,125.57,125.800003,124.550003,124.610001,124.610001,71311100
6/1/2021,125.080002,125.349998,123.940002,124.279999,124.279999,67637100
6/2/2021,124.279999,125.239998,124.050003,125.059998,125.059998,59278900
6/3/2021,124.68,124.849998,123.129997,123.540001,123.540001,76229200
6/4/2021,124.07,126.160004,123.849998,125.889999,125.889999,75169300
6/7/2021,126.169998,126.32,124.830002,125.900002,125.900002,71057600
6/8/2021,126.599998,128.460007,126.209999,126.739998,126.739998,74403800
6/9/2021,127.209999,127.75,126.519997,127.129997,127.129997,56877900
6/10/2021,127.019997,128.190002,125.940002,126.110001,126.110001,71186400
6/11/2021,126.529999,127.440002,126.099998,127.349998,127.349998,53522400
6/14/2021,127.82,130.539993,127.07,130.479996,130.479996,96906500
6/15/2021,129.940002,130.600006,129.389999,129.639999,129.639999,62746300
6/16/2021,130.369995,130.889999,128.460007,130.149994,130.149994,91815000
6/17/2021,129.800003,132.550003,129.649994,131.789993,131.789993,96721700
6/18/2021,130.710007,131.509995,130.240005,130.460007,130.460007,108953300
6/21/2021,130.300003,132.410004,129.210007,132.300003,132.300003,79663300
6/22/2021,132.130005,134.080002,131.619995,133.979996,133.979996,74783600
6/23/2021,133.770004,134.320007,133.229996,133.699997,133.699997,60214200
6/24/2021,134.449997,134.639999,132.929993,133.410004,133.410004,68711000
6/25/2021,133.460007,133.889999,132.809998,133.110001,133.110001,70783700
6/28/2021,133.410004,135.25,133.350006,134.779999,134.779999,62111300
6/29/2021,134.800003,136.490005,134.350006,136.330002,136.330002,64556100
6/30/2021,136.169998,137.410004,135.869995,136.960007,136.960007,63261400
